,BBCNews_timestamp,BBCNews_tweet_text,BBCNews_cmpd_sntmt,BBCNews_pos_sntmt,BBCNews_neg_sntmt,BBCNews_neu_sntmt,CBSNews_timestamp,CBSNews_tweet_text,CBSNews_cmpd_sntmt,CBSNews_pos_sntmt,CBSNews_neg_sntmt,CBSNews_neu_sntmt,CNN_timestamp,CNN_tweet_text,CNN_cmpd_sntmt,CNN_pos_sntmt,CNN_neg_sntmt,CNN_neu_sntmt,FoxNews_timestamp,FoxNews_tweet_text,FoxNews_cmpd_sntmt,FoxNews_pos_sntmt,FoxNews_neg_sntmt,FoxNews_neu_sntmt,NYT_timestamp,NYT_tweet_text,NYT_cmpd_sntmt,NYT_pos_sntmt,NYT_neg_sntmt,NYT_neu_sntmt
31,01/07/2018 10:02:42,Catholic diocese suspends 'sign of peace' due to flu https://t.co/gCuKGEPOEW,0.2263,0.248,0.184,0.567,01/08/2018 01:50:30,".@SterlingKBrown wins for his role in ""This is Us,"" Best Performance by an Actor in a Television Series - Drama… https://t.co/fJEbxRc73J",0.836,0.317,0.0,0.683,01/08/2018 02:38:13,RT @CNNent: Martin McDonagh wins Best Screenplay - Motion Picture for @3Billboards #GoldenGlobes https://t.co/mXhPdGTXS8 https://t.co/joIYP…,0.836,0.397,0.0,0.603,01/08/2018 01:40:00,Moody Blues rocker Ray Thomas dies before Hall of Fame induction ceremony https://t.co/jAujADJTkH,0.1027,0.177,0.152,0.671,01/08/2018 00:45:01,We Asked Golden Globe Nominees About Sexism. Here’s What They Said.. https://t.co/vct3OVs6FU,0.0,0.0,0.0,1.0
32,01/07/2018 09:55:53,"RT @MarrShow: ""What I make of him is somebody who is taking decisions on what he believes is in the best interests of the United States"" PM…",0.8402,0.281,0.0,0.719,01/08/2018 01:50:08,RT @CBSThisMorning: .@HandmaidsOnHulu wins at #GoldenGlobes for Best TV Drama Series. https://t.co/AfHCRl0e2J,0.836,0.441,0.0,0.559,01/08/2018 02:31:27,"RT @CNNent: .@AllisonBJanney wins Best Performance by an Actress in a Supporting Role in a Motion Picture for @ITonyaMovie #GoldenGlobes
ht…",0.8957,0.403,0.0,0.597,01/08/2018 01:36:45,"Steve Wynn: ""The only constituency that a successful businessperson has is the jobs he's created, the people that w… https://t.co/t8omlAbmxR",0.7003,0.254,0.0,0.746,01/08/2018 00:44:01,"On Live TV, Debra Messing Chastises E! About Gender Pay Inequity. https://t.co/qwKug08SGT",-0.5255,0.0,0.305,0.695
33,01/07/2018 09:55:05,"PM Theresa May lays out plans for new Northern Forest, stretching from Liverpool to Hull #Marr… https://t.co/GwhP6e3ReI",0.0,0.0,0.0,1.0,01/08/2018 01:43:30,See who the winners are: Hollywood stars gathered at the 75th Annual #GoldenGlobe Awards in Beverly Hills to celebr… https://t.co/rCPKcutm7Q,0.7269,0.253,0.0,0.747,01/08/2018 02:30:19,"World's longest glass bridge opens in Hebei, China https://t.co/909lraeHtn (via @CNNTravel) https://t.co/DL1QPStunA",0.0,0.0,0.0,1.0,01/08/2018 01:32:42,".@AlanDersh: ""The perception of the disparity of wealth has become greater than ever before because of the media."" https://t.co/593PIZ6hdd",0.6908,0.251,0.0,0.749,01/08/2018 00:34:01,"In New York, Drawing Flood Maps Is a ‘Game of Inches’. https://t.co/9TFCwfQPt0",0.0,0.0,0.0,1.0
34,01/07/2018 09:47:48,"""This is about life and death"" - @andrewmarr9 challenges Prime Minister Theresa May on winter pressure facing NHS… https://t.co/7d0Q4pbDO1",-0.7003,0.058,0.272,0.67,01/08/2018 01:42:09,"""We no longer live in the blank white spaces or at the edge of the print. We are the stories and we are writing the… https://t.co/lWNsaqce0p",-0.296,0.0,0.081,0.919,01/08/2018 02:26:46,RT @CNNent: #PixarCoco wins Best Motion Picture - Animated. #GoldenGlobes https://t.co/0zPEfgLAnB https://t.co/BmuIhwcX9G,0.836,0.467,0.0,0.533,01/08/2018 01:29:00,Connie Britton wears 'poverty is sexist' sweater at the Golden Globes https://t.co/aFAOdxTxIo,-0.5106,0.0,0.231,0.769,01/08/2018 00:20:01,Egypt’s Presidential Race Loses Popular Candidate. https://t.co/13mhQW54bD,0.128,0.277,0.228,0.495
35,01/07/2018 09:38:04,"""I know somebody who was one of his victims and who was not contacted... I recognise why people are so concerned ab… https://t.co/uiWXseS8NW",-0.3182,0.0,0.099,0.901,01/08/2018 01:32:53,"RT @CBSThisMorning: #GoldenGlobes winner for Best Performance by an Actress in a Television Series: Rachel Brosnahan in ""The Marvelous Mrs.…",0.9169,0.427,0.0,0.573,01/08/2018 02:25:52,Sterling K. Brown makes #GoldenGlobes history as the first black actor to win for his leading performance in a TV d… https://t.co/QI1CunVlvl,0.5859,0.16,0.0,0.84,01/08/2018 01:23:16,Town encourages children to smoke during Epiphany https://t.co/SKHKCxSgAl,0.4404,0.293,0.0,0.707,01/08/2018 00:19:00,Funerals Begin for Victims of Bronx Fire That Killed 13. https://t.co/HoF41yOs2I,-0.8957,0.0,0.628,0.372
36,01/07/2018 09:30:02,"Labour's @jonashworth says government should have done more to tackle ""entirely predictable and entirely preventabl… https://t.co/pdsBkMTnvU",0.0,0.0,0.0,1.0,01/08/2018 01:28:28,"Sam Rockwell wins the award for best supporting actor, motion picture for his performance in ""Three Billboards Outs… https://t.co/2uw07Da5lI",0.936,0.488,0.0,0.512,01/08/2018 02:20:30,"RT @CNNent: .@LauraDern wins Best Performance by an Actress in a Supporting Role in a Series, Limited Series or TV Movie for @Big_Little_Li…",0.872,0.364,0.064,0.572,01/08/2018 01:16:44,".@AriFleischer: ""There are [a lot] of blue collar workers who thought Washington wasn't listening to their voice, a… https://t.co/gOVlTTfZaK",0.0,0.0,0.0,1.0,01/08/2018 00:18:00,Metropolitan Diary: Genius of Shoes. https://t.co/39zfzaZXTR,0.0,0.0,0.0,1.0
37,01/07/2018 09:23:56,RT @BBCNewsbeat: Some of the UK's largest retailers have agreed to voluntarily stop sales of acid to customers under 18 years old following…,-0.0258,0.083,0.087,0.83,01/08/2018 01:27:02,RT @CBSThisMorning: #GoldenGlobes winner for Best Film Supporting Actor: Sam Rockwell,0.8979,0.577,0.0,0.423,01/08/2018 02:19:48,RT @CNNent: Sterling K. Brown makes #GoldenGlobes history as the first black actor to win for his leading performance in a TV drama. https:…,0.5859,0.147,0.0,0.853,01/08/2018 01:00:01,"RIGHT NOW: @WilliamJBennett hosts ""The Wise Guys,"" a powerful discussion on America's future - Tune in at 8p &amp; 11p… https://t.co/9kGQEmiGVt",0.7096,0.258,0.0,0.742,01/08/2018 00:02:01,"India Clings to Cash, Even as Tech Firms Push Digital Money. https://t.co/vcrAesmT9Q",0.0,0.0,0.0,1.0
38,01/07/2018 09:23:46,Royal Wedding: Late pub opening hours for Harry and Meghan https://t.co/7w6kcOjyxl,0.0,0.0,0.0,1.0,01/08/2018 01:24:29,"""This is ours to share, wow. The power of women,"" Nicole Kidman said after winning Best Actress in Limited Series o… https://t.co/O9YknpDpKZ",0.9136,0.418,0.058,0.523,01/08/2018 02:16:26,"Oprah Winfrey may have squashed speculation of a potential presidential bid in 2020, but #GoldenGlobes host Seth Me… https://t.co/OXio4qeCQE",0.0,0.0,0.0,1.0,01/08/2018 00:58:38,".@WalidPhares: ""We're not gonna stop the sanctions at a time where the Iranian regime is becoming and showing a lot… https://t.co/qH74DgMD2b",0.2235,0.095,0.0,0.905,01/07/2018 23:59:00,Time’s Up Pins Are the Political Accessory at the Golden Globes. https://t.co/5e89iAczMk,0.0,0.0,0.0,1.0
39,01/07/2018 08:47:52,RT @BBCSport: Antonio Conte didn't hold back in his response to Jose Mourinho... https://t.co/w6zdi7Dl4Y,0.0,0.0,0.0,1.0,01/08/2018 01:17:33,Some viewers are criticizing Justin Timberlake on social media for wearing black and a #TimesUp pin to the… https://t.co/QC7JUWx6Ue,-0.3612,0.0,0.128,0.872,01/08/2018 02:10:59,"RT @CNNent: James Franco wins Best Performance by an Actor in a Motion Picture - Musical or Comedy for @DisasterArtist #GoldenGlobes
https:…",0.886,0.38,0.0,0.62,01/08/2018 00:45:00,.@newtgingrich: @realDonaldTrump is right -- we need welfare reform https://t.co/EdDvPivrID,0.0,0.0,0.0,1.0,01/07/2018 23:33:00,Golden Globes Red Carpet Arrivals: See All the Action. https://t.co/DLZTcC5wjR,0.0,0.0,0.0,1.0
40,01/07/2018 08:40:40,Prime Minister Theresa May has dropped plans to hold a vote on the fox-hunting ban during this parliament #Marr… https://t.co/U2fCh9U0ca,-0.5574,0.0,0.167,0.833,01/08/2018 01:13:25,"""Today is the #GoldenGlobes in Los Angeles and a lot of the women with #TimesUp are standing up for equality, to be… https://t.co/nuhdeq7DL4",0.0,0.0,0.0,1.0,01/08/2018 02:05:51,Hollywood didn't just show up at the #GoldenGlobes intent on making a statement about women -- it also honored them. https://t.co/Xxb15ekJoc,0.5859,0.167,0.0,0.833,01/08/2018 00:43:00,Debra Messing slams E! over wage equality during live Golden Globes red carpet interview https://t.co/GoGMcfGhBz,0.0,0.0,0.0,1.0,01/07/2018 23:18:00,"Ray Thomas, Founding Member of the Moody Blues, Dies at 76. https://t.co/jT4HnGlhOr",-0.3612,0.0,0.185,0.815
